X,Region,Country,Code,Sex,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
574,South Asia,Bhutan,BTN,Male, ,2.64,2.7,1.85,1.9,2.2,1.91,1.84, , , , , 
599,Latin America & Caribbean,Bolivia,BOL,Female,3.35,3.61, ,2.68,2.79,3,2.85,3.79,4.03,4.05,3.61,4.38,9.78
600,Latin America & Caribbean,Bolivia,BOL,Male,1.98,2.46, ,1.92,1.49,1.98,1.36,2.62,3.09,3.34,3.44,3.37,6.42
625,Europe & Central Asia,Bosnia and Herzegovina,BIH,Female,26.78,25.64,29.93,29.94,30.66,29.02,31.17,30.69,30.05,23.13,20.33,18.78,17.40999985
626,Europe & Central Asia,Bosnia and Herzegovina,BIH,Male,21.4,23.11,25.68,26.11,26.37,26.55,25.18,25.78,22.53,18.87,17.21,13.65,13.85999966
651,Sub-Saharan Africa,Botswana,BWA,Female, ,19.6,21.43, , , , , , , , ,23.5,25.63999939
652,Sub-Saharan Africa,Botswana,BWA,Male, ,13,14.59, , , , , , , , ,21.7,24.21999931
677,Latin America & Caribbean,Brazil,BRA,Female,9.88,11.28, ,9.36,9.02,8.73,8.08,10.02,13.43,14.68,14.19,14.09,15.96
678,Latin America & Caribbean,Brazil,BRA,Male,5.38,6.36, ,5.05,5.79,5.64,5.57,7.19,10.18,11.34,10.84,10.17,11.87
703,Latin America & Caribbean,British Virgin Islands,VGB,Female, , , , , , , , , , , , , 
704,Latin America & Caribbean,British Virgin Islands,VGB,Male, , , , , , , , , , , , , 
729,East Asia & Pacific,Brunei Darussalam,BRN,Female, , , , , , ,7.88, , ,9.96,10.07,8.34, 
730,East Asia & Pacific,Brunei Darussalam,BRN,Male, , , , , , ,6.27, , ,8.8,7.72,6.01, 
755,Europe & Central Asia,Bulgaria,BGR,Female,5.76,6.62,9.61,10.11,10.84,11.84,10.4,8.42,6.97,5.95,4.65,3.87,4.77
756,Europe & Central Asia,Bulgaria,BGR,Male,5.48,6.98,10.86,12.26,13.52,13.9,12.31,9.78,8.1,6.35,5.69,4.54,5.43
781,Sub-Saharan Africa,Burkina Faso,BFA,Female, , , , , , ,9.24, , , ,4.63, , 
782,Sub-Saharan Africa,Burkina Faso,BFA,Male, , , , , , ,3.86, , , ,4.75, , 
807,Sub-Saharan Africa,Burundi,BDI,Female,1.14, , , , , ,1.17, , , , , , 
808,Sub-Saharan Africa,Burundi,BDI,Male,2.16, , , , , ,2.05, , , , , , 
833,Sub-Saharan Africa,Cabo Verde,CPV,Female, , , , , , , ,31.63, ,12.76,11.55,12.07, 
834,Sub-Saharan Africa,Cabo Verde,CPV,Male, , , , , , , ,31, ,11.82,12.66,10.66, 
859,East Asia & Pacific,Cambodia,KHM,Female,0.860000014,0.56,0.79,0.48,1.13,0.52,0.69,0.46,0.85,0.17, , , 
860,East Asia & Pacific,Cambodia,KHM,Male,0.790000021,0.6,0.75,0.68,1.41,0.36,0.69,0.33,0.59,0.11, , , 
885,Sub-Saharan Africa,Cameroon,CMR,Female, , ,4.88, , , ,4.03, , , , , , 
886,Sub-Saharan Africa,Cameroon,CMR,Male, , ,3.4, , , ,3.06, , , , , , 
911,North America,Canada,CAN,Female,5.65,7.01,7.24,7.01,6.82,6.6,6.39,6.29,6.24,5.85,5.49,5.25,9.39
912,North America,Canada,CAN,Male,6.57,9.54,8.79,7.96,7.72,7.5,7.38,7.46,7.68,6.78,6.14,6.03,9.53
