X,Region,Country,Code,Sex,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2965,Europe & Central Asia,Liechtenstein,LIE,Female, , , , , , , , , , , , , 
2966,Europe & Central Asia,Liechtenstein,LIE,Male, , , , , , , , , , , , , 
2991,Europe & Central Asia,Lithuania,LTU,Female,5.63,10.52,14.52,12.91,11.57,10.48,9.22,8.16,6.65,5.68,5.41,5.49,7.69
2992,Europe & Central Asia,Lithuania,LTU,Male,6.02,17.08,21.19,17.91,15.2,13.06,12.18,10.1,9.1,8.5,6.89,7.02,9.27
3017,Europe & Central Asia,Luxembourg,LUX,Female,6.03,6.13,5.09,6.26,5.91,6.38,5.77,7.34,6.63,5.5,5.88,5.53,6.97
3018,Europe & Central Asia,Luxembourg,LUX,Male,4.32,4.36,3.79,3.84,4.53,5.42,5.92,6.1,6.01,5.54,5.33,5.65,6.6
3043,East Asia & Pacific,"Macao SAR, China",MAC,Female,2.8,2.79,2.06,2.18,1.65,1.4,1.4,1.57,1.5,1.6,1.3,1.3,2.2
3044,East Asia & Pacific,"Macao SAR, China",MAC,Male,3.2,4.2,3.52,2.98,2.27,2.23,1.9,1.97,2.3,2.4,2.3,2.1,2.9
3069,Sub-Saharan Africa,Madagascar,MDG,Female, , ,5.31, ,0.63, , ,1.8, , , , , 
3070,Sub-Saharan Africa,Madagascar,MDG,Male, , ,3.25, ,0.57, , ,1.77, , , , , 
3095,Sub-Saharan Africa,Malawi,MWI,Female, , , ,1.76, ,6.93, , , ,7.52, , , 
3096,Sub-Saharan Africa,Malawi,MWI,Male, , , ,1.71, ,4.94, , , ,4.37, , , 
3121,East Asia & Pacific,Malaysia,MYS,Female, , , ,3.319999933, , ,3.22,3.39,3.92, ,3.63,3.4, 
3122,East Asia & Pacific,Malaysia,MYS,Male, , , ,2.910000086, , ,2.67,2.92,3.13, ,3.09,3.17, 
3147,South Asia,Maldives,MDV,Female, ,13.75, , , , ,5.41, ,5.63, , ,4.900000095, 
3148,South Asia,Maldives,MDV,Male, ,10.38, , , , ,3.19, ,6.43, , ,5.639999866, 
3173,Sub-Saharan Africa,Mali,MLI,Female, , ,11.11, , ,8.24,6.3,8.74,1.3,8.34,1.56, , 
3174,Sub-Saharan Africa,Mali,MLI,Male, , ,6.04, , ,4.55,6.44,6.86,1.42,6.65,1.67, , 
3199,Middle East & North Africa,Malta,MLT,Female,6.78,7.63,7.13,7.13,7.21,6.14,5.1,5.39,5.16,4.25,3.5,4.01,4.36
3200,Middle East & North Africa,Malta,MLT,Male,5.57,6.51,6.7,5.97,5.59,6.09,6.12,5.37,4.37,3.83,3.77,3.35,4.19
3225,East Asia & Pacific,Marshall Islands,MHL,Female, , , ,4.48, , , , , , , ,4.28, 
3226,East Asia & Pacific,Marshall Islands,MHL,Male, , , ,4.87, , , , , , , ,7.4, 
3251,Sub-Saharan Africa,Mauritania,MRT,Female, , , , ,12.4, , , , ,11.45, , , 
3252,Sub-Saharan Africa,Mauritania,MRT,Male, , , , ,8.46, , , , ,9.66, , , 
3277,Sub-Saharan Africa,Mauritius,MUS,Female,12.59,12.27,12.92,11.71,11.72,11.15,10.83,10.68,10.41,10.04,9.51,9.68, 
3278,Sub-Saharan Africa,Mauritius,MUS,Male,4.04,4.33,4.48,4.91,4.93,4.93,5.36,5.28,4.52,4.64,4.41,4.1, 
3303,Latin America & Caribbean,Mexico,MEX,Female,4.03,5.35,5.18,5.13,4.88,4.96,4.85,4.45,3.91,3.6,3.43,3.52,4.1
3304,Latin America & Caribbean,Mexico,MEX,Male,3.78,5.36,5.37,5.19,4.89,4.89,4.79,4.23,3.83,3.31,3.19,3.46,4.67
3329,East Asia & Pacific,"Micronesia, Fed. Sts.",FSM,Female, , , , , , ,13.88, , , , , , 
3330,East Asia & Pacific,"Micronesia, Fed. Sts.",FSM,Male, , , , , , ,5.37, , , , , , 
3355,Europe & Central Asia,Moldova,MDA,Female,3.35,4.89,5.74,5.59,4.29,4.14,2.92,3.45,2.74,3.34,3.14,4.35,3.25
3356,Europe & Central Asia,Moldova,MDA,Male,4.54,7.83,9.08,7.73,6.82,6.03,4.51,5.91,5.24,4.83,5.06,5.8,4.34
3381,Europe & Central Asia,Monaco,MCO,Female, , , , , , , , ,8.68, , , , 
3382,Europe & Central Asia,Monaco,MCO,Male, , , , , , , , ,4.58, , , , 
3407,East Asia & Pacific,Mongolia,MNG,Female,5.19,6.16,5.9,4.43,3.53,4.46,4.41,4.26,5.9,5.66,4.83,8.87,6.71
3408,East Asia & Pacific,Mongolia,MNG,Male,5.92,5.58,7.13,5.07,4.25,4.02,5.15,5.4,8.41,6.98,5.85,11.03,7.28
3433,Europe & Central Asia,Montenegro,MNE,Female,18.37,20.43,20.75,20.14,20.25,18.82,18.22,17.31,17.08,16.94,15.1,15.68,18.4
3434,Europe & Central Asia,Montenegro,MNE,Male,16.25,18.04,18.8,19.31,19.75,20.04,17.81,17.74,18.24,15.38,15.24,14.68,17.5
3459,Middle East & North Africa,Morocco,MAR,Female,9.78,9.28,9.48,10.22,9.94,9.57,10.28,10.39,10.66, , , , 
3460,Middle East & North Africa,Morocco,MAR,Male,9.49,8.84,8.94,8.43,8.65,9.11,9.49,9.11,8.81, , , , 
3485,Sub-Saharan Africa,Mozambique,MOZ,Female, , , , , , , ,3.67, , , , , 
3486,Sub-Saharan Africa,Mozambique,MOZ,Male, , , , , , , ,3.15, , , , , 
3511,East Asia & Pacific,Myanmar,MMR,Female, , , , , , , ,0.9, ,2.02,1.04,0.59, 
3512,East Asia & Pacific,Myanmar,MMR,Male, , , , , , , ,0.67, ,1.22,0.73,0.44, 
3537,Sub-Saharan Africa,Namibia,NAM,Female, , ,23.95999908, ,18.97,20.66,20.38, ,24.98, ,18.59, , 
3538,Sub-Saharan Africa,Namibia,NAM,Male, , ,20.34000015, ,14.66,17.33,16.71, ,21.78, ,21.13, , 
3563,East Asia & Pacific,Nauru,NRU,Female, , , ,25.51, ,17.95, , , , , , , 
3564,East Asia & Pacific,Nauru,NRU,Male, , , ,21.36, ,10.03, , , , , , , 
3589,South Asia,Nepal,NPL,Female,1.08, , , , , , ,2.9, ,13.06, , , 
3590,South Asia,Nepal,NPL,Male,1.59, , , , , , ,3.4, ,10.31, , , 
3615,Europe & Central Asia,Netherlands,NLD,Female,4.47,4.92,5.54,5.41,6.23,7.3,7.75,7.27,6.51,5.25,3.96,3.36,3.95
3616,Europe & Central Asia,Netherlands,NLD,Male,2.98,3.87,4.52,4.6,5.47,7.19,7.13,6.53,5.57,4.48,3.72,3.4,3.7
3641,East Asia & Pacific,New Caledonia,NCL,Female, ,16.34, , , , ,15.6, , , , , , 
3642,East Asia & Pacific,New Caledonia,NCL,Male, ,12.05, , , , ,13.74, , , , , , 
3667,East Asia & Pacific,New Zealand,NZL,Female,4.26,6.14,6.93,6.76,7.39,6.420000076,6.130000114,5.9,5.519999981,5.239999771,4.5,4.43,4.98
3668,East Asia & Pacific,New Zealand,NZL,Male,4.08,6.1,6.23,6.25,6.52,5.309999943,4.800000191,4.97,4.809999943,4.289999962,4.18,3.82,4.25
3693,Latin America & Caribbean,Nicaragua,NIC,Female,6.9, , , ,5.73,5.45,5.61,5.4,4.2,3.4,5.3, , 
3694,Latin America & Caribbean,Nicaragua,NIC,Male,5.7, , , ,4.78,5.14,3.84,4.2,3.6,3.1,5.2, , 
3719,Sub-Saharan Africa,Niger,NER,Female, , , ,0.22,3.71, ,0.43, , ,7.79, , , 
3720,Sub-Saharan Africa,Niger,NER,Male, , , ,0.4,1.67, ,0.6, , ,7.76, , , 
3745,Sub-Saharan Africa,Nigeria,NGA,Female, , , ,3.69, ,3.38,5.35,5.06,8.03,9.15, ,7.5, 
3746,Sub-Saharan Africa,Nigeria,NGA,Male, , , ,3.84, ,4.01,3.83,3.62,6.14,7.59, ,9.41, 
3771,Europe & Central Asia,North Macedonia,MKD,Female,34.16,32.82,32.24,30.79,30.33,29.02,28.62,25.06,22.73,21.82,19.87,18.39,16.92
3772,Europe & Central Asia,North Macedonia,MKD,Male,33.51,31.78,31.88,31.76,31.46,28.98,27.65,26.72,24.36,22.74,21.29,16.48,17.4
3797,East Asia & Pacific,Northern Mariana Islands,MNP,Female, , ,13.05, , , , , , , , , , 
3798,East Asia & Pacific,Northern Mariana Islands,MNP,Male, , ,9.66, , , , , , , , , , 
3823,Europe & Central Asia,Norway,NOR,Female,2.36,2.6,2.94,2.99,2.63,3.23,3.24,4,3.91,3.69,3.54,3.39,4.13
3824,Europe & Central Asia,Norway,NOR,Male,2.72,3.55,4.04,3.42,3.56,3.59,3.71,4.56,5.36,4.58,4.03,3.95,4.68
3849,Middle East & North Africa,Oman,OMN,Female,8.09, , , , , , , ,13.68, ,7.1, ,9.680000305
3850,Middle East & North Africa,Oman,OMN,Male,3.41, , , , , , , ,1.8, ,0.8, ,1.360000014
3875,South Asia,Pakistan,PAK,Female,0.53,0.36,0.64,0.67, ,3.42,2.01,6.11, , ,4.55, , 
3876,South Asia,Pakistan,PAK,Male,0.4,0.58,0.66,0.83, ,2.82,1.77,2.8, , ,3.96, , 
3901,East Asia & Pacific,Palau,PLW,Female, , , , , , ,1.75, , , , , , 
3902,East Asia & Pacific,Palau,PLW,Male, , , , , , ,1.06, , , , , , 
3927,Latin America & Caribbean,Panama,PAN,Female,7.19,8.85,5.07,2.68,3.03,3.06,3.49,3.9,3.92,5.08,4.97,5.79,24.67
3928,Latin America & Caribbean,Panama,PAN,Male,3.49,5.11,2.88,2.08,1.97,1.81,2.2,2.39,2.9,3.08,3.13,3.97,13.59
3953,East Asia & Pacific,Papua New Guinea,PNG,Female, , ,1.28,1.44, , , , , , , , , 
3954,East Asia & Pacific,Papua New Guinea,PNG,Male, , ,2.68,3.7, , , , , , , , , 
3979,Latin America & Caribbean,Paraguay,PRY,Female,5.96,6.65,6.05,6.36,5.43,4.95,6.76,4.93,6.71,5.42,7.52,8.29,9.93
3980,Latin America & Caribbean,Paraguay,PRY,Male,3.42,4.67,3.62,3.49,3.1,3.97,3.82,4.29,4.26,4.06,5.29,5.36,5.85
4005,Latin America & Caribbean,Peru,PER,Female,4.64,4.19,4.13,3.81,3.72,3.96,3.41,3.35,3.98,3.91,3.88,3.74,6.980000019
4006,Latin America & Caribbean,Peru,PER,Male,3.55,3.8,3.11,3.19,2.84,3.26,3.05,3.21,3.55,3.51,3.17,3.08,7.809999943
4031,East Asia & Pacific,Philippines,PHL,Female,4.01,4.13,3.79,3.83,3.73,3.82,3.72,3.22,2.85,2.7,2.68,2.53,2.720000029
4032,East Asia & Pacific,Philippines,PHL,Male,3.54,3.68,3.49,3.44,3.36,3.29,3.52,2.97,2.6,2.46,2.13,2.05,2.400000095
4057,Europe & Central Asia,Poland,POL,Female,7.95,8.66,10.02,10.4,10.91,11.11,9.59,7.71,6.23,4.91,3.85,3.6,3.29
4058,Europe & Central Asia,Poland,POL,Male,6.43,7.76,9.32,9.01,9.42,9.69,8.5,7.33,6.11,4.87,3.84,3.02,3.06
4083,Europe & Central Asia,Portugal,PRT,Female,8.75,10.09,11.86,13.04,15.5,16.37,14.33,12.75,11.17,9.35,7.44,7.15,7.05
4084,Europe & Central Asia,Portugal,PRT,Male,6.47,8.83,9.76,12.34,15.55,16.01,13.48,12.16,10.97,8.41,6.57,5.8,6.54
4109,Latin America & Caribbean,Puerto Rico,PRI,Female,9.66,12.5,12.7,12.8,12, , ,9.7, , , , , 
4110,Latin America & Caribbean,Puerto Rico,PRI,Male,12.83,17,18.9,18.2,16.2, , ,13.8, , , , , 
4135,Middle East & North Africa,Qatar,QAT,Female,1.69,1.92,2.7,3.32,2.82,1.63,1.03,0.85,0.7,0.62,0.46,0.4, 
4136,Middle East & North Africa,Qatar,QAT,Male,0.14,0.14,0.14,0.17,0.14,0.09,0.07,0.06,0.06,0.06,0.05,0.1, 
4161,Europe & Central Asia,Romania,ROU,Female,4.67,5.84,6.18,6.46,6.08,6.31,6.09,5.85,4.98,4.04,3.49,3.38,4.69
4162,Europe & Central Asia,Romania,ROU,Male,6.68,7.67,7.57,7.74,7.35,7.71,7.35,7.53,6.59,5.6,4.71,4.31,5.29
4187,Europe & Central Asia,Russia,RUS,Female,5.94,7.67,6.84,6.09,5.07,5.14,4.82,5.31,5.35,5.05,4.78,4.33,5.53
4188,Europe & Central Asia,Russia,RUS,Male,6.46,8.91,7.88,6.97,5.79,5.76,5.48,5.82,5.76,5.36,4.91,4.65,5.64
4213,Sub-Saharan Africa,Rwanda,RWA,Female, , , , , , ,1.24, , ,19.35,17.05,17.02, 
4214,Sub-Saharan Africa,Rwanda,RWA,Male, , , , , , ,1.09, , ,15.7,13.53,13.9, 
4239,East Asia & Pacific,Samoa,WSM,Female, , , ,6.82,10.26, ,10.27, , ,21.34, , , 
4240,East Asia & Pacific,Samoa,WSM,Male, , , ,5.24,7.84, ,7.8, , ,10.61, , , 
4265,Europe & Central Asia,San Marino,SMR,Female, ,6.26,7.29, ,7.47,8.7,9.47,10.95,10.03, , ,9.16, 
4266,Europe & Central Asia,San Marino,SMR,Male, ,2.35,2.13, ,3.36,3.94,4.28,4.42,3.52, , ,3.14, 
4291,Sub-Saharan Africa,São Tomé and Principe,STP,Female, , , , , , , , , , , , , 
4292,Sub-Saharan Africa,São Tomé and Principe,STP,Male, , , , , , , , , , , , , 
4317,Middle East & North Africa,Saudi Arabia,SAU,Female,13.78,15.94,17.38,19.21,21.28,20.73,21.58,21.38,21.1,21.3,22.56, ,20.20000076
4318,Middle East & North Africa,Saudi Arabia,SAU,Male,3.54,3.53,3.45,3.35,2.67,2.78,2.76,2.44,2.51,3.22,2.94, ,4
4343,Sub-Saharan Africa,Senegal,SEN,Female, , , ,13.41, , , ,7.3,4.75,3.549999952, ,3.049999952, 
4344,Sub-Saharan Africa,Senegal,SEN,Male, , , ,7.92, , , ,6.39,4.239999771,3.789999962, ,2.75, 
4369,Europe & Central Asia,Serbia,SRB,Female,15.98,17.86,20.22,23.7,24.98,23.84,20.37,18.76,16.1,14.27,13.7,11.08,9.41
4370,Europe & Central Asia,Serbia,SRB,Male,11.92,14.79,18.45,22.42,23.27,20.87,18.33,16.81,14.59,12.84,11.96,9.85,8.69
4395,Sub-Saharan Africa,Seychelles,SYC,Female, , , ,4.48, , ,3.9,4.79,4.23,3.73,3.11,2.75,3.529999971
4396,Sub-Saharan Africa,Seychelles,SYC,Male, , , ,3.76, , ,3.78,3.52,3.71,3.7,3.95,3.19,4.909999847
4421,Sub-Saharan Africa,Sierra Leone,SLE,Female, , , , , , ,3.88, , , , , , 
4422,Sub-Saharan Africa,Sierra Leone,SLE,Male, , , , , , ,5.58, , , , , , 
4447,East Asia & Pacific,Singapore,SGP,Female,4.38,6.51,4.4,4.32,4.2,4.38,4.09,3.96,4.48,4.4, ,3.4,4.400000095
4448,East Asia & Pacific,Singapore,SGP,Male,3.61,5.37,3.9,3.58,3.34,3.46,3.46,3.64,3.78,4, ,3,3.900000095
4473,Latin America & Caribbean,Sint Maarten (Dutch part),SXM,Female, , , , , , , , , , , , , 
4474,Latin America & Caribbean,Sint Maarten (Dutch part),SXM,Male, , , , , , , , , , , , , 
4499,Europe & Central Asia,Slovak Republic,SVK,Female,10.93,12.83,14.6,13.63,14.52,14.53,13.63,12.89,10.76,8.41,7.03,5.96,7.06
4500,Europe & Central Asia,Slovak Republic,SVK,Male,8.36,11.39,14.2,13.61,13.52,13.98,12.82,10.32,8.77,7.9,6.13,5.59,6.38
4525,Europe & Central Asia,Slovenia,SVN,Female,4.82,5.8,7.02,8.17,9.37,10.91,10.55,10.04,8.59,7.47,5.7,4.95,5.63
4526,Europe & Central Asia,Slovenia,SVN,Male,3.99,5.9,7.42,8.16,8.39,9.42,8.92,8.05,7.49,5.77,4.6,4.01,4.41
4551,East Asia & Pacific,Solomon Islands,SLB,Female, ,1.76, , , ,0.72, , , , , , , 
4552,East Asia & Pacific,Solomon Islands,SLB,Male, ,2.25, , , ,0.67, , , , , , , 
4577,Sub-Saharan Africa,Somalia,SOM,Female, , , , , , , , , , , , , 
4578,Sub-Saharan Africa,Somalia,SOM,Male, , , , , , , , , , , , , 
4603,Sub-Saharan Africa,South Africa,ZAF,Female,25.74,25.54,26.98,27.19,27.05,26.52,27.02,27.52,28.98,29.26,29.05,30.5,31.02
4604,Sub-Saharan Africa,South Africa,ZAF,Male,19.69,21.89,22.84,22.56,22.84,22.95,23.15,23.2,24.53,25.2,25.13,26.79,27.74
4629,Sub-Saharan Africa,South Sudan,SSD,Female,13.23, , , , , , , , , , , ,17.43
4630,Sub-Saharan Africa,South Sudan,SSD,Male,11.17, , , , , , , , , , , ,13.87
4655,Europe & Central Asia,Spain,ESP,Female,12.84,18.13,20.22,21.81,25.03,26.67,25.43,23.55,21.38,19.03,17.02,15.99, 
4656,Europe & Central Asia,Spain,ESP,Male,10.05,17.64,19.57,21.04,24.58,25.6,23.6,20.77,18.12,15.66,13.72,12.45, 
4681,South Asia,Sri Lanka,LKA,Female,8.03,8.62,7.4,6.91,6.1,6.41,6.27,7.33,6.72,6.24,6.88, , 
4682,South Asia,Sri Lanka,LKA,Male,3.63,4.32,3.42,2.66,2.76,3.05,3.08,2.94,2.84,2.79,2.95, , 
4707,Latin America & Caribbean,St. Kitts and Nevis,KNA,Female, , , , , , , , , , , , , 
4708,Latin America & Caribbean,St. Kitts and Nevis,KNA,Male, , , , , , , , , , , , , 
4733,Latin America & Caribbean,St. Lucia,LCA,Female,14.75,16.46, ,20.22,21.19,23.93, , , ,20.86,20.88,16.95, 
4734,Latin America & Caribbean,St. Lucia,LCA,Male,11.04,14.39, ,17.61,17.09,20.66, , , ,17.07,17.53,13.84, 
4759,Latin America & Caribbean,St. Martin (French part),MAF,Female, , , , , , , , , , , , , 
4760,Latin America & Caribbean,St. Martin (French part),MAF,Male, , , , , , , , , , , , , 
4785,Latin America & Caribbean,St. Vincent and the Grenadines,VCT,Female, , , , , , , , , , , , , 
4786,Latin America & Caribbean,St. Vincent and the Grenadines,VCT,Male, , , , , , , , , , , , , 
4811,Sub-Saharan Africa,Sudan,SDN,Female,19.3,23, ,30.74, , , , , , , , , 
4812,Sub-Saharan Africa,Sudan,SDN,Male,12.7,9, ,12.37, , , , , , , , , 
4837,Latin America & Caribbean,Suriname,SUR,Female, ,14.33,12.58,12.41,12.37,11.01,11.81,11.45,11.11, , , , 
4838,Latin America & Caribbean,Suriname,SUR,Male, ,4.84,3.6,4.21,5.08,3.63,3.52,4.38,5.68, , , , 
4863,Europe & Central Asia,Sweden,SWE,Female,6.57,8.01,8.52,7.76,7.71,7.89,7.69,7.29,6.59,6.44,6.24,6.96,8.29
4864,Europe & Central Asia,Sweden,SWE,Male,5.94,8.66,8.69,7.84,8.21,8.2,8.19,7.56,7.36,6.97,6.48,6.72,8.3
4889,Europe & Central Asia,Switzerland,CHE,Female,3.97,4.52,5.19,4.79,4.73,4.92,4.99,4.91,5.01,5.06,5.11,4.71, 
4890,Europe & Central Asia,Switzerland,CHE,Male,2.82,3.77,4.48,4.07,4.28,4.6,4.69,4.7,4.84,4.57,4.37,4.11, 
4915,Middle East & North Africa,Syrian Arab Republic,SYR,Female,24.19,22.29,22, , , , , , , , , , 
4916,Middle East & North Africa,Syrian Arab Republic,SYR,Male,8.35,5.69,6.23, , , , , , , , , , 
4941,Europe & Central Asia,Tajikistan,TJK,Female, ,10.48, , , , , , ,5.5, , , , 
4942,Europe & Central Asia,Tajikistan,TJK,Male, ,12.26, , , , , , ,7.9, , , , 
4967,Sub-Saharan Africa,Tanzania,TZA,Female, ,2.7, ,4.29,0.289999992,3.79,2.69, , , , , , 
4968,Sub-Saharan Africa,Tanzania,TZA,Male, ,2.2, ,2.62,0.289999992,2.1,1.57, , , , , , 
4993,East Asia & Pacific,Thailand,THA,Female,1.04,1.45,0.62,0.68,0.53,0.24,0.56,0.61,0.71,0.84,0.74,0.73,1.09
4994,East Asia & Pacific,Thailand,THA,Male,1.3,1.52,0.62,0.65,0.62,0.26,0.59,0.59,0.67,0.82,0.78,0.7,1.11
5019,East Asia & Pacific,Timor-Leste,TLS,Female, , ,4.26, , ,10.59, , ,6.26, , , , 
5020,East Asia & Pacific,Timor-Leste,TLS,Male, , ,2.85, , ,11.19, , ,3.34, , , , 
5045,Sub-Saharan Africa,Togo,TGO,Female, , , ,1.66, , , ,1.7, ,2.82, , , 
5046,Sub-Saharan Africa,Togo,TGO,Male, , , ,2.32, , , ,2.71, ,4.73, , , 
5071,East Asia & Pacific,Tonga,TON,Female, , , , , , , , , , ,3.63, , 
5072,East Asia & Pacific,Tonga,TON,Male, , , , , , , , , , ,2.63, , 
5097,Latin America & Caribbean,Trinidad and Tobago,TTO,Female,6.18,6.29,4.67,4.25,4.57,3.25,2.94,2.95,3.16, , , , 
5098,Latin America & Caribbean,Trinidad and Tobago,TTO,Male,3.52,4.58,3.59,2.87,3.11,2.28,2.15,2.06,3.24, , , , 
5123,Middle East & North Africa,Tunisia,TUN,Female,15.94,18.77,18.94,27.37,25.61,23, ,22.21,23.46,22.63,22.76,22.18, 
5124,Middle East & North Africa,Tunisia,TUN,Male,11.15,11.27,10.89,15.04,14.63,13.26, ,12.4,12.37,12.39,12.5,12.27, 
5149,Europe & Central Asia,Turkey,TUR,Female,9.98,12.61,11.39,10.07,9.38,10.55,11.83,12.59,13.63,13.89,13.77,16.41,14.85
5150,Europe & Central Asia,Turkey,TUR,Male,9.61,12.53,10.37,8.27,7.63,7.93,9.03,9.18,9.55,9.37,9.51,12.33,12.31
5175,Europe & Central Asia,Turkmenistan,TKM,Female, ,1.8,2.3, , , , , , , , , , 
5176,Europe & Central Asia,Turkmenistan,TKM,Male, ,4.5,5.3, , , , , , , , , , 
5201,Latin America & Caribbean,Turks and Caicos Islands,TCA,Female, , , , , , , , , , , , , 
5202,Latin America & Caribbean,Turks and Caicos Islands,TCA,Male, , , , , , , , , , , , , 
5227,East Asia & Pacific,Tuvalu,TUV,Female, , , , , , , , ,16.22, , , , 
5228,East Asia & Pacific,Tuvalu,TUV,Male, , , , , , , , ,4.64, , , , 
5253,Sub-Saharan Africa,Uganda,UGA,Female, , , , ,4.29,2.44, , , ,11.88, , , 
5254,Sub-Saharan Africa,Uganda,UGA,Male, , , , ,2.87,1.37, , , ,8.68, , , 
5279,Europe & Central Asia,Ukraine,UKR,Female,6.09,7.31,6.82, , ,6.22,7.52,8.08,7.69,7.7,7.43,7.86, 
5280,Europe & Central Asia,Ukraine,UKR,Male,6.62,10.29,9.3, , ,8.04,10.85,10.1,10.83,11.1,10.04,8.5, 
5305,Middle East & North Africa,United Arab Emirates,ARE,Female, , , , , , , , ,4.02,6.81, ,5.1, 
5306,Middle East & North Africa,United Arab Emirates,ARE,Male, , , , , , , , ,1.07,1.41, ,1.28, 
5331,Europe & Central Asia,United Kingdom,GBR,Female,5.09,6.42,6.88,7.34,7.39,7.04,5.82,5.12,4.68,4.22,3.94,3.53, 
5332,Europe & Central Asia,United Kingdom,GBR,Male,6.06,8.49,8.57,8.64,8.32,7.95,6.36,5.45,4.92,4.43,4.05,3.92, 
5357,North America,United States of America,USA,Female,5.42,8.07,8.62,8.46,7.89,7.08,6.06,5.18,4.79,4.31,3.84,3.61,8.35
5358,North America,United States of America,USA,Male,6.1,10.29,10.52,9.37,8.23,7.64,6.26,5.37,4.94,4.4,3.95,3.72,7.8
5383,Latin America & Caribbean,Uruguay,URY,Female,10.82,10.37,9.4,8.07,8.26,8.2,8.34,8.85,9.44,9.47,10.07,10.69,12.36
5384,Latin America & Caribbean,Uruguay,URY,Male,5.62,5.51,5.27,4.84,4.91,4.99,5.06,6.36,6.5,6.56,6.86,7.34,8.62
5409,Europe & Central Asia,Uzbekistan,UZB,Female, ,5.9,6.3,4.8,4.7,4.7,4.9,5,5,5.6, ,12.8, 
5410,Europe & Central Asia,Uzbekistan,UZB,Male, ,4.3,4.6,5.1,5,5,5.2,5.3,5.3,6, ,6, 
5435,East Asia & Pacific,Vanuatu,VUT,Female, ,5.15,1.57, , , , , , , , , , 
5436,East Asia & Pacific,Vanuatu,VUT,Male, ,4.11,2.08, , , , , , , , , , 
5461,Latin America & Caribbean,"Venezuela, RB",VEN,Female,6.22,5.96,6.95,7.21,7.11,8.600000381, , ,5.41,5.84, , , 
5462,Latin America & Caribbean,"Venezuela, RB",VEN,Male,6.26,6.18,7.22,6.7,6.27,6.829999924, , ,5.26,4.5, , , 
5487,East Asia & Pacific,Vietnam,VNM,Female, ,1.58,1.08,0.9,0.93,1.14,1.11,1.71,1.7,1.7,1.03,2.01,2.83
5488,East Asia & Pacific,Vietnam,VNM,Male, ,1.89,1.15,1.09,1.12,1.48,1.4,1.98,1.99,2.03,1.28,2.07,2.01
5513,Latin America & Caribbean,Virgin Islands (U.S.),VIR,Female, , , , , , , , , , , , , 
5514,Latin America & Caribbean,Virgin Islands (U.S.),VIR,Male, , , , , , , , , , , , , 
5539,Middle East & North Africa,West Bank and Gaza,PSE,Female,19.53,20.11,21.56,22.44,26.03,27.43,26.16,34.32,37.97,42.83,41.9,41.19,40.07
5540,Middle East & North Africa,West Bank and Gaza,PSE,Male,23.67,20.53,21.39,16.5,17.61,18.19,19.2,20.2,20.58,21.53,22.42,21.35,22.48
5565,Middle East & North Africa,"Yemen, Rep.",YEM,Female,40.88,40.23,54.71, , , ,26.13, , , , , , 
5566,Middle East & North Africa,"Yemen, Rep.",YEM,Male,11.54,11.27,12.43, , , ,12.34, , , , , , 
5591,Sub-Saharan Africa,Zambia,ZMB,Female,7.71, , , , , , , , ,12.73,13.5,13.18, 
5592,Sub-Saharan Africa,Zambia,ZMB,Male,8.14, , , , , , , , ,10.88,11.06,12.07, 
5617,Sub-Saharan Africa,Zimbabwe,ZWE,Female, , , ,5.99, , ,5.18, , , , ,17.9, 
5618,Sub-Saharan Africa,Zimbabwe,ZWE,Male, , , ,4.73, , ,4.36, , , , ,16.04, 
