"","X","Region","Country","Code","Sex","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","Income2019"
"178","2368","Middle East & North Africa","Iran, Islamic Rep.","IRN","Male","9.270000458","10.98999977","12.10000038","10.72000027","10.57999992","8.75","8.909999847","9.390000343","10.68000031","10.33","10.51","9.1"," "," "
"179","2393","Middle East & North Africa","Iraq","IRQ","Female"," "," "," "," ","12.42"," ","21.92"," ","22.22","30.96"," "," "," ","4545.382634"
"180","2394","Middle East & North Africa","Iraq","IRQ","Male"," "," "," "," ","7.19"," ","8.44"," ","8.49","10.26"," "," "," ","4545.382634"
"181","2419","Europe & Central Asia","Ireland","IRL","Female","5.7","9.51","11.41","12.5","12.75","12.42","10.87","8.91","7.6","6.29","5.69","4.69","5.65","43036.40686"
"182","2420","Europe & Central Asia","Ireland","IRL","Male","7.6","15.08","17.07","17.69","17.68","14.83","12.67","10.73","9.02","7.07","5.78","5.17","5.6","43036.40686"
"183","2445","Europe & Central Asia","Isle of Man","IMN","Female","1"," "," ","2.76"," ","1.71","1.26"," ","2.26"," "," "," "," "," "
"184","2446","Europe & Central Asia","Isle of Man","IMN","Male","1.8"," "," ","3.77"," ","3.36","2.59"," ","3.03"," "," "," "," "," "
"185","2471","Middle East & North Africa","Israel","ISR","Female","7.86","9.18","7.95","6.95","6.98","6.24","5.92","5.39","4.94","4.32","3.95","3.93","4.119999886","37638.05315"
"186","2472","Middle East & North Africa","Israel","ISR","Male","7.57","9.84","8.94","7.3","6.75","6.18","5.87","5.13","4.67","4.12","4.04","3.69","4.519999981","37638.05315"
"187","2497","Europe & Central Asia","Italy","ITA","Female","8.5","9.22","9.6","9.54","11.83","13.07","13.8","12.69","12.77","12.39","11.77","11.1","10.19","27895.07427"
"188","2498","Europe & Central Asia","Italy","ITA","Male","5.5","6.72","7.5","7.52","9.8","11.48","11.86","11.32","10.89","10.34","9.75","9.09","8.4","27895.07427"
"189","2523","Latin America & Caribbean","Jamaica","JAM","Female","14.58","14.84","16.21","17.2","18.08","20.07","18.14","17.86","17.4","15.37","11.9","9.899999619"," ","5040.161089"
"190","2524","Latin America & Caribbean","Jamaica","JAM","Male","7.3","8.52","9.21","9.6","10.51","11.23","10.09","9.9","9.6","8.42","6.72","5.800000191"," ","5040.161089"
"191","2549","East Asia & Pacific","Japan","JPN","Female","3.859999895","4.78000021","4.610000134","4.150000095","4.050000191","3.7","3.4","3.1","2.8","2.7","2.2","2.2","2.5","32481.50892"
"192","2550","East Asia & Pacific","Japan","JPN","Male","4.110000134","5.269999981","5.460000038","4.840000153","4.579999924","4.3","3.7","3.6","3.3","3","2.6","2.5","3","32481.50892"
"193","2575","Middle East & North Africa","Jordan","JOR","Female","24.4","24.1","21.7","21.2","19.9","22.2","20.7","22.55","24.13","27.2","24.13","24.12"," ","4131.542779"
"194","2576","Middle East & North Africa","Jordan","JOR","Male","10.1","10.3","10.4","11","10.4","10.6","10.1","10.98","13.32","15.79","17.02","15.45"," ","4131.542779"
"195","2601","Europe & Central Asia","Kazakhstan","KAZ","Female","7.95","7.54","6.63","6.21","6.47","5.87"," "," "," ","5.43"," "," ","5.37","6716.639434"
"196","2602","Europe & Central Asia","Kazakhstan","KAZ","Male","5.33","5.59","4.93","4.6","4.13","4.57"," "," "," ","4.4"," "," ","4.43","6716.639434"
"197","2627","Sub-Saharan Africa","Kenya","KEN","Female"," ","9.4"," "," "," "," "," "," ","2.94"," "," ","5.26"," ","1492.0704"
"198","2628","Sub-Saharan Africa","Kenya","KEN","Male"," ","9.9"," "," "," "," "," "," ","2.58"," "," ","4.78"," ","1492.0704"
"199","2653","East Asia & Pacific","Kiribati","KIR","Female"," "," ","34.09"," "," "," "," ","5.64"," "," "," ","8.67"," ","3125.532752"
"200","2654","East Asia & Pacific","Kiribati","KIR","Male"," "," ","27.63"," "," "," "," ","11.87"," "," "," ","8.54"," ","3125.532752"
"201","2679","East Asia & Pacific","Korea, Dem. People's Rep.","PRK","Female"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"202","2680","East Asia & Pacific","Korea, Dem. People's Rep.","PRK","Male"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"203","2705","East Asia & Pacific","Korea, Rep.","KOR","Female","2.4","2.69","2.84","2.64","2.56","2.46","2.96","3.48","3.54","3.48","3.69","3.58","3.99","25779.87589"
"204","2706","East Asia & Pacific","Korea, Rep.","KOR","Male","3.36","3.84","3.67","3.24","2.99","2.96","3.17","3.59","3.73","3.78","3.92","3.87","3.89","25779.87589"
"205","2731","Europe & Central Asia","Kosovo","XKX","Female","59.6","56.4"," "," ","39.96"," ","41.53","36.57","31.69","36.39","33.26","35.41999817","32.63000107"," "
"206","2732","Europe & Central Asia","Kosovo","XKX","Male","42.7","40.7"," "," ","28.03"," ","32.95","31.79","26.15","28.52","28.31","22.72999954","23.73999977"," "
"207","2757","Middle East & North Africa","Kuwait","KWT","Female","3.73","3.39","2.8"," "," "," ","4.9","4.4","5.83"," "," "," "," "," "
"208","2758","Middle East & North Africa","Kuwait","KWT","Male","1.1","1.04","1.41"," "," "," ","1.9","1.2","0.94"," "," "," "," "," "
"209","2783","Europe & Central Asia","Kyrgyz Republic","KGZ","Female","9.38","9.76","9.94","9.85","9.47","9.66","9.49","9.02","8.74","8.91","5"," "," ","1052.878301"
"210","2784","Europe & Central Asia","Kyrgyz Republic","KGZ","Male","7.34","7.41","7.71","7.58","7.69","7.43","7.03","6.54","6.18","5.59","4.25"," "," ","1052.878301"
"211","2809","East Asia & Pacific","Lao PDR","LAO","Female"," "," ","0.66"," "," "," "," "," "," ","7.82"," "," "," ","2034.739406"
"212","2810","East Asia & Pacific","Lao PDR","LAO","Male"," "," ","0.76"," "," "," "," "," "," ","10.75"," "," "," ","2034.739406"
"213","2835","Europe & Central Asia","Latvia","LVA","Female","7.08","14.14","16.3","13.8","13.95","11.14","9.84","8.64","8.4","7.68","6.42","5.43","7.07","13773.74487"
"214","2836","Europe & Central Asia","Latvia","LVA","Male","8.38","20.9","22.75","18.64","16.16","12.6","11.85","11.09","10.9","9.76","8.41","7.2","9.13","13773.74487"
"215","2861","Middle East & North Africa","Lebanon","LBN","Female"," ","10.4"," "," "," "," "," "," "," "," "," ","14.35"," ","5952.843246"
"216","2862","Middle East & North Africa","Lebanon","LBN","Male"," ","5.02"," "," "," "," "," "," "," "," "," ","9.97"," ","5952.843246"
"217","2887","Sub-Saharan Africa","Lesotho","LSO","Female","38.79"," "," "," "," "," "," "," "," "," "," ","22.29"," ","1130.666118"
"218","2888","Sub-Saharan Africa","Lesotho","LSO","Male","32.54"," "," "," "," "," "," "," "," "," "," ","22.58"," ","1130.666118"
"219","2913","Sub-Saharan Africa","Liberia","LBR","Female"," "," ","2.29"," "," "," ","1.8"," ","2.36"," "," "," "," ","379.5860744"
"220","2914","Sub-Saharan Africa","Liberia","LBR","Male"," "," ","2.24"," "," "," ","2.36"," ","3.79"," "," "," "," ","379.5860744"
"221","2939","Middle East & North Africa","Libya","LBY","Female"," "," "," "," ","25.05"," "," "," "," "," "," "," "," ","6414.603716"
"222","2940","Middle East & North Africa","Libya","LBY","Male"," "," "," "," ","15.88"," "," "," "," "," "," "," "," ","6414.603716"
"223","2965","Europe & Central Asia","Liechtenstein","LIE","Female"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"224","2966","Europe & Central Asia","Liechtenstein","LIE","Male"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"225","2991","Europe & Central Asia","Lithuania","LTU","Female","5.63","10.52","14.52","12.91","11.57","10.48","9.22","8.16","6.65","5.68","5.41","5.49","7.69","16504.32214"
"226","2992","Europe & Central Asia","Lithuania","LTU","Male","6.02","17.08","21.19","17.91","15.2","13.06","12.18","10.1","9.1","8.5","6.89","7.02","9.27","16504.32214"
"227","3017","Europe & Central Asia","Luxembourg","LUX","Female","6.03","6.13","5.09","6.26","5.91","6.38","5.77","7.34","6.63","5.5","5.88","5.53","6.97","60409.14554"
"228","3018","Europe & Central Asia","Luxembourg","LUX","Male","4.32","4.36","3.79","3.84","4.53","5.42","5.92","6.1","6.01","5.54","5.33","5.65","6.6","60409.14554"
"229","3043","East Asia & Pacific","Macao SAR, China","MAC","Female","2.8","2.79","2.06","2.18","1.65","1.4","1.4","1.57","1.5","1.6","1.3","1.3","2.2"," "
"230","3044","East Asia & Pacific","Macao SAR, China","MAC","Male","3.2","4.2","3.52","2.98","2.27","2.23","1.9","1.97","2.3","2.4","2.3","2.1","2.9"," "
"231","3069","Sub-Saharan Africa","Madagascar","MDG","Female"," "," ","5.31"," ","0.63"," "," ","1.8"," "," "," "," "," ","453.9607004"
"232","3070","Sub-Saharan Africa","Madagascar","MDG","Male"," "," ","3.25"," ","0.57"," "," ","1.77"," "," "," "," "," ","453.9607004"
"233","3095","Sub-Saharan Africa","Malawi","MWI","Female"," "," "," ","1.76"," ","6.93"," "," "," ","7.52"," "," "," ","363.0782946"
"234","3096","Sub-Saharan Africa","Malawi","MWI","Male"," "," "," ","1.71"," ","4.94"," "," "," ","4.37"," "," "," ","363.0782946"
"235","3121","East Asia & Pacific","Malaysia","MYS","Female"," "," "," ","3.319999933"," "," ","3.22","3.39","3.92"," ","3.63","3.4"," ","8223.628645"
"236","3122","East Asia & Pacific","Malaysia","MYS","Male"," "," "," ","2.910000086"," "," ","2.67","2.92","3.13"," ","3.09","3.17"," ","8223.628645"
"237","3147","South Asia","Maldives","MDV","Female"," ","13.75"," "," "," "," ","5.41"," ","5.63"," "," ","4.900000095"," ","8433.125675"
"238","3148","South Asia","Maldives","MDV","Male"," ","10.38"," "," "," "," ","3.19"," ","6.43"," "," ","5.639999866"," ","8433.125675"
"239","3173","Sub-Saharan Africa","Mali","MLI","Female"," "," ","11.11"," "," ","8.24","6.3","8.74","1.3","8.34","1.56"," "," ","797.5228562"
"240","3174","Sub-Saharan Africa","Mali","MLI","Male"," "," ","6.04"," "," ","4.55","6.44","6.86","1.42","6.65","1.67"," "," ","797.5228562"
"241","3199","Middle East & North Africa","Malta","MLT","Female","6.78","7.63","7.13","7.13","7.21","6.14","5.1","5.39","5.16","4.25","3.5","4.01","4.36"," "
"242","3200","Middle East & North Africa","Malta","MLT","Male","5.57","6.51","6.7","5.97","5.59","6.09","6.12","5.37","4.37","3.83","3.77","3.35","4.19"," "
"243","3225","East Asia & Pacific","Marshall Islands","MHL","Female"," "," "," ","4.48"," "," "," "," "," "," "," ","4.28"," "," "
"244","3226","East Asia & Pacific","Marshall Islands","MHL","Male"," "," "," ","4.87"," "," "," "," "," "," "," ","7.4"," "," "
"245","3251","Sub-Saharan Africa","Mauritania","MRT","Female"," "," "," "," ","12.4"," "," "," "," ","11.45"," "," "," ","1408.717692"
"246","3252","Sub-Saharan Africa","Mauritania","MRT","Male"," "," "," "," ","8.46"," "," "," "," ","9.66"," "," "," ","1408.717692"
"247","3277","Sub-Saharan Africa","Mauritius","MUS","Female","12.59","12.27","12.92","11.71","11.72","11.15","10.83","10.68","10.41","10.04","9.51","9.68"," ","11071.05449"
"248","3278","Sub-Saharan Africa","Mauritius","MUS","Male","4.04","4.33","4.48","4.91","4.93","4.93","5.36","5.28","4.52","4.64","4.41","4.1"," ","11071.05449"
"249","3303","Latin America & Caribbean","Mexico","MEX","Female","4.03","5.35","5.18","5.13","4.88","4.96","4.85","4.45","3.91","3.6","3.43","3.52","4.1","7749.904979"
"250","3304","Latin America & Caribbean","Mexico","MEX","Male","3.78","5.36","5.37","5.19","4.89","4.89","4.79","4.23","3.83","3.31","3.19","3.46","4.67","7749.904979"
"251","3329","East Asia & Pacific","Micronesia, Fed. Sts.","FSM","Female"," "," "," "," "," "," ","13.88"," "," "," "," "," "," "," "
"252","3330","East Asia & Pacific","Micronesia, Fed. Sts.","FSM","Male"," "," "," "," "," "," ","5.37"," "," "," "," "," "," "," "
"253","3355","Europe & Central Asia","Moldova","MDA","Female","3.35","4.89","5.74","5.59","4.29","4.14","2.92","3.45","2.74","3.34","3.14","4.35","3.25","4126.814803"
"254","3356","Europe & Central Asia","Moldova","MDA","Male","4.54","7.83","9.08","7.73","6.82","6.03","4.51","5.91","5.24","4.83","5.06","5.8","4.34","4126.814803"
"255","3381","Europe & Central Asia","Monaco","MCO","Female"," "," "," "," "," "," "," "," ","8.68"," "," "," "," "," "
"256","3382","Europe & Central Asia","Monaco","MCO","Male"," "," "," "," "," "," "," "," ","4.58"," "," "," "," "," "
"257","3407","East Asia & Pacific","Mongolia","MNG","Female","5.19","6.16","5.9","4.43","3.53","4.46","4.41","4.26","5.9","5.66","4.83","8.87","6.71","3151.471429"
"258","3408","East Asia & Pacific","Mongolia","MNG","Male","5.92","5.58","7.13","5.07","4.25","4.02","5.15","5.4","8.41","6.98","5.85","11.03","7.28","3151.471429"
"259","3433","Europe & Central Asia","Montenegro","MNE","Female","18.37","20.43","20.75","20.14","20.25","18.82","18.22","17.31","17.08","16.94","15.1","15.68","18.4","7628.684483"
"260","3434","Europe & Central Asia","Montenegro","MNE","Male","16.25","18.04","18.8","19.31","19.75","20.04","17.81","17.74","18.24","15.38","15.24","14.68","17.5","7628.684483"
"261","3459","Middle East & North Africa","Morocco","MAR","Female","9.78","9.28","9.48","10.22","9.94","9.57","10.28","10.39","10.66"," "," "," "," ","2802.783453"
"262","3460","Middle East & North Africa","Morocco","MAR","Male","9.49","8.84","8.94","8.43","8.65","9.11","9.49","9.11","8.81"," "," "," "," ","2802.783453"
"263","3485","Sub-Saharan Africa","Mozambique","MOZ","Female"," "," "," "," "," "," "," ","3.67"," "," "," "," "," ","381.8721167"
"264","3486","Sub-Saharan Africa","Mozambique","MOZ","Male"," "," "," "," "," "," "," ","3.15"," "," "," "," "," ","381.8721167"
"265","3511","East Asia & Pacific","Myanmar","MMR","Female"," "," "," "," "," "," "," ","0.9"," ","2.02","1.04","0.59"," ","1269.086039"
"266","3512","East Asia & Pacific","Myanmar","MMR","Male"," "," "," "," "," "," "," ","0.67"," ","1.22","0.73","0.44"," ","1269.086039"
"267","3537","Sub-Saharan Africa","Namibia","NAM","Female"," "," ","23.95999908"," ","18.97","20.66","20.38"," ","24.98"," ","18.59"," "," ","4201.815244"
"268","3538","Sub-Saharan Africa","Namibia","NAM","Male"," "," ","20.34000015"," ","14.66","17.33","16.71"," ","21.78"," ","21.13"," "," ","4201.815244"
"269","3563","East Asia & Pacific","Nauru","NRU","Female"," "," "," ","25.51"," ","17.95"," "," "," "," "," "," "," "," "
"270","3564","East Asia & Pacific","Nauru","NRU","Male"," "," "," ","21.36"," ","10.03"," "," "," "," "," "," "," "," "
"271","3589","South Asia","Nepal","NPL","Female","1.08"," "," "," "," "," "," ","2.9"," ","13.06"," "," "," ","1009.04294"
"272","3590","South Asia","Nepal","NPL","Male","1.59"," "," "," "," "," "," ","3.4"," ","10.31"," "," "," ","1009.04294"
"273","3615","Europe & Central Asia","Netherlands","NLD","Female","4.47","4.92","5.54","5.41","6.23","7.3","7.75","7.27","6.51","5.25","3.96","3.36","3.95","43778.14931"
"274","3616","Europe & Central Asia","Netherlands","NLD","Male","2.98","3.87","4.52","4.6","5.47","7.19","7.13","6.53","5.57","4.48","3.72","3.4","3.7","43778.14931"
"275","3641","East Asia & Pacific","New Caledonia","NCL","Female"," ","16.34"," "," "," "," ","15.6"," "," "," "," "," "," "," "
"276","3642","East Asia & Pacific","New Caledonia","NCL","Male"," ","12.05"," "," "," "," ","13.74"," "," "," "," "," "," "," "
"277","3667","East Asia & Pacific","New Zealand","NZL","Female","4.26","6.14","6.93","6.76","7.39","6.420000076","6.130000114","5.9","5.519999981","5.239999771","4.5","4.43","4.98","34344.57097"
"278","3668","East Asia & Pacific","New Zealand","NZL","Male","4.08","6.1","6.23","6.25","6.52","5.309999943","4.800000191","4.97","4.809999943","4.289999962","4.18","3.82","4.25","34344.57097"
"279","3693","Latin America & Caribbean","Nicaragua","NIC","Female","6.9"," "," "," ","5.73","5.45","5.61","5.4","4.2","3.4","5.3"," "," ","1718.55601"
"280","3694","Latin America & Caribbean","Nicaragua","NIC","Male","5.7"," "," "," ","4.78","5.14","3.84","4.2","3.6","3.1","5.2"," "," ","1718.55601"
"281","3719","Sub-Saharan Africa","Niger","NER","Female"," "," "," ","0.22","3.71"," ","0.43"," "," ","7.79"," "," "," ","526.3529672"
"282","3720","Sub-Saharan Africa","Niger","NER","Male"," "," "," ","0.4","1.67"," ","0.6"," "," ","7.76"," "," "," ","526.3529672"
"283","3745","Sub-Saharan Africa","Nigeria","NGA","Female"," "," "," ","3.69"," ","3.38","5.35","5.06","8.03","9.15"," ","7.5"," ","1779.188548"
"284","3746","Sub-Saharan Africa","Nigeria","NGA","Male"," "," "," ","3.84"," ","4.01","3.83","3.62","6.14","7.59"," ","9.41"," ","1779.188548"
"285","3771","Europe & Central Asia","North Macedonia","MKD","Female","34.16","32.82","32.24","30.79","30.33","29.02","28.62","25.06","22.73","21.82","19.87","18.39","16.92","4854.594602"
"286","3772","Europe & Central Asia","North Macedonia","MKD","Male","33.51","31.78","31.88","31.76","31.46","28.98","27.65","26.72","24.36","22.74","21.29","16.48","17.4","4854.594602"
"287","3797","East Asia & Pacific","Northern Mariana Islands","MNP","Female"," "," ","13.05"," "," "," "," "," "," "," "," "," "," "," "
"288","3798","East Asia & Pacific","Northern Mariana Islands","MNP","Male"," "," ","9.66"," "," "," "," "," "," "," "," "," "," "," "
"289","3823","Europe & Central Asia","Norway","NOR","Female","2.36","2.6","2.94","2.99","2.63","3.23","3.24","4","3.91","3.69","3.54","3.39","4.13","60776.13037"
"290","3824","Europe & Central Asia","Norway","NOR","Male","2.72","3.55","4.04","3.42","3.56","3.59","3.71","4.56","5.36","4.58","4.03","3.95","4.68","60776.13037"
"291","3849","Middle East & North Africa","Oman","OMN","Female","8.09"," "," "," "," "," "," "," ","13.68"," ","7.1"," ","9.680000305","9188.761625"
"292","3850","Middle East & North Africa","Oman","OMN","Male","3.41"," "," "," "," "," "," "," ","1.8"," ","0.8"," ","1.360000014","9188.761625"
"293","3875","South Asia","Pakistan","PAK","Female","0.53","0.36","0.64","0.67"," ","3.42","2.01","6.11"," "," ","4.55"," "," ","1186.309109"
"294","3876","South Asia","Pakistan","PAK","Male","0.4","0.58","0.66","0.83"," ","2.82","1.77","2.8"," "," ","3.96"," "," ","1186.309109"
"295","3901","East Asia & Pacific","Palau","PLW","Female"," "," "," "," "," "," ","1.75"," "," "," "," "," "," "," "
"296","3902","East Asia & Pacific","Palau","PLW","Male"," "," "," "," "," "," ","1.06"," "," "," "," "," "," "," "
"297","3927","Latin America & Caribbean","Panama","PAN","Female","7.19","8.85","5.07","2.68","3.03","3.06","3.49","3.9","3.92","5.08","4.97","5.79","24.67","13274.437"
"298","3928","Latin America & Caribbean","Panama","PAN","Male","3.49","5.11","2.88","2.08","1.97","1.81","2.2","2.39","2.9","3.08","3.13","3.97","13.59","13274.437"
"299","3953","East Asia & Pacific","Papua New Guinea","PNG","Female"," "," ","1.28","1.44"," "," "," "," "," "," "," "," "," ","2338.573244"
"300","3954","East Asia & Pacific","Papua New Guinea","PNG","Male"," "," ","2.68","3.7"," "," "," "," "," "," "," "," "," ","2338.573244"
"301","3979","Latin America & Caribbean","Paraguay","PRY","Female","5.96","6.65","6.05","6.36","5.43","4.95","6.76","4.93","6.71","5.42","7.52","8.29","9.93","4885.118638"
"302","3980","Latin America & Caribbean","Paraguay","PRY","Male","3.42","4.67","3.62","3.49","3.1","3.97","3.82","4.29","4.26","4.06","5.29","5.36","5.85","4885.118638"
"303","4005","Latin America & Caribbean","Peru","PER","Female","4.64","4.19","4.13","3.81","3.72","3.96","3.41","3.35","3.98","3.91","3.88","3.74","6.980000019","5955.763384"
"304","4006","Latin America & Caribbean","Peru","PER","Male","3.55","3.8","3.11","3.19","2.84","3.26","3.05","3.21","3.55","3.51","3.17","3.08","7.809999943","5955.763384"
"305","4031","East Asia & Pacific","Philippines","PHL","Female","4.01","4.13","3.79","3.83","3.73","3.82","3.72","3.22","2.85","2.7","2.68","2.53","2.720000029","3471.839862"
"306","4032","East Asia & Pacific","Philippines","PHL","Male","3.54","3.68","3.49","3.44","3.36","3.29","3.52","2.97","2.6","2.46","2.13","2.05","2.400000095","3471.839862"
"307","4057","Europe & Central Asia","Poland","POL","Female","7.95","8.66","10.02","10.4","10.91","11.11","9.59","7.71","6.23","4.91","3.85","3.6","3.29","13254.8157"
"308","4058","Europe & Central Asia","Poland","POL","Male","6.43","7.76","9.32","9.01","9.42","9.69","8.5","7.33","6.11","4.87","3.84","3.02","3.06","13254.8157"
"309","4083","Europe & Central Asia","Portugal","PRT","Female","8.75","10.09","11.86","13.04","15.5","16.37","14.33","12.75","11.17","9.35","7.44","7.15","7.05","18590.61919"
"310","4084","Europe & Central Asia","Portugal","PRT","Male","6.47","8.83","9.76","12.34","15.55","16.01","13.48","12.16","10.97","8.41","6.57","5.8","6.54","18590.61919"
"311","4109","Latin America & Caribbean","Puerto Rico","PRI","Female","9.66","12.5","12.7","12.8","12"," "," ","9.7"," "," "," "," "," "," "
"312","4110","Latin America & Caribbean","Puerto Rico","PRI","Male","12.83","17","18.9","18.2","16.2"," "," ","13.8"," "," "," "," "," "," "
"313","4135","Middle East & North Africa","Qatar","QAT","Female","1.69","1.92","2.7","3.32","2.82","1.63","1.03","0.85","0.7","0.62","0.46","0.4"," ","45338.1717"
"314","4136","Middle East & North Africa","Qatar","QAT","Male","0.14","0.14","0.14","0.17","0.14","0.09","0.07","0.06","0.06","0.06","0.05","0.1"," ","45338.1717"
"315","4161","Europe & Central Asia","Romania","ROU","Female","4.67","5.84","6.18","6.46","6.08","6.31","6.09","5.85","4.98","4.04","3.49","3.38","4.69","10873.69313"
"316","4162","Europe & Central Asia","Romania","ROU","Male","6.68","7.67","7.57","7.74","7.35","7.71","7.35","7.53","6.59","5.6","4.71","4.31","5.29","10873.69313"
"317","4187","Europe & Central Asia","Russia","RUS","Female","5.94","7.67","6.84","6.09","5.07","5.14","4.82","5.31","5.35","5.05","4.78","4.33","5.53"," "
"318","4188","Europe & Central Asia","Russia","RUS","Male","6.46","8.91","7.88","6.97","5.79","5.76","5.48","5.82","5.76","5.36","4.91","4.65","5.64"," "
"319","4213","Sub-Saharan Africa","Rwanda","RWA","Female"," "," "," "," "," "," ","1.24"," "," ","19.35","17.05","17.02"," ","666.4792139"
"320","4214","Sub-Saharan Africa","Rwanda","RWA","Male"," "," "," "," "," "," ","1.09"," "," ","15.7","13.53","13.9"," ","666.4792139"
"321","4239","East Asia & Pacific","Samoa","WSM","Female"," "," "," ","6.82","10.26"," ","10.27"," "," ","21.34"," "," "," ","3658.459193"
"322","4240","East Asia & Pacific","Samoa","WSM","Male"," "," "," ","5.24","7.84"," ","7.8"," "," ","10.61"," "," "," ","3658.459193"
"323","4265","Europe & Central Asia","San Marino","SMR","Female"," ","6.26","7.29"," ","7.47","8.7","9.47","10.95","10.03"," "," ","9.16"," "," "
"324","4266","Europe & Central Asia","San Marino","SMR","Male"," ","2.35","2.13"," ","3.36","3.94","4.28","4.42","3.52"," "," ","3.14"," "," "
"325","4291","Sub-Saharan Africa","São Tomé and Principe","STP","Female"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"326","4292","Sub-Saharan Africa","São Tomé and Principe","STP","Male"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"327","4317","Middle East & North Africa","Saudi Arabia","SAU","Female","13.78","15.94","17.38","19.21","21.28","20.73","21.58","21.38","21.1","21.3","22.56"," ","20.20000076","19160.09421"
"328","4318","Middle East & North Africa","Saudi Arabia","SAU","Male","3.54","3.53","3.45","3.35","2.67","2.78","2.76","2.44","2.51","3.22","2.94"," ","4","19160.09421"
"329","4343","Sub-Saharan Africa","Senegal","SEN","Female"," "," "," ","13.41"," "," "," ","7.3","4.75","3.549999952"," ","3.049999952"," ","1276.679787"
"330","4344","Sub-Saharan Africa","Senegal","SEN","Male"," "," "," ","7.92"," "," "," ","6.39","4.239999771","3.789999962"," ","2.75"," ","1276.679787"
"331","4369","Europe & Central Asia","Serbia","SRB","Female","15.98","17.86","20.22","23.7","24.98","23.84","20.37","18.76","16.1","14.27","13.7","11.08","9.41","5770.767752"
"332","4370","Europe & Central Asia","Serbia","SRB","Male","11.92","14.79","18.45","22.42","23.27","20.87","18.33","16.81","14.59","12.84","11.96","9.85","8.69","5770.767752"
"333","4395","Sub-Saharan Africa","Seychelles","SYC","Female"," "," "," ","4.48"," "," ","3.9","4.79","4.23","3.73","3.11","2.75","3.529999971","14587.43321"
"334","4396","Sub-Saharan Africa","Seychelles","SYC","Male"," "," "," ","3.76"," "," ","3.78","3.52","3.71","3.7","3.95","3.19","4.909999847","14587.43321"
"335","4421","Sub-Saharan Africa","Sierra Leone","SLE","Female"," "," "," "," "," "," ","3.88"," "," "," "," "," "," ","476.3773113"
"336","4422","Sub-Saharan Africa","Sierra Leone","SLE","Male"," "," "," "," "," "," ","5.58"," "," "," "," "," "," ","476.3773113"
"337","4447","East Asia & Pacific","Singapore","SGP","Female","4.38","6.51","4.4","4.32","4.2","4.38","4.09","3.96","4.48","4.4"," ","3.4","4.400000095","48343.59725"
"338","4448","East Asia & Pacific","Singapore","SGP","Male","3.61","5.37","3.9","3.58","3.34","3.46","3.46","3.64","3.78","4"," ","3","3.900000095","48343.59725"
"339","4473","Latin America & Caribbean","Sint Maarten (Dutch part)","SXM","Female"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"340","4474","Latin America & Caribbean","Sint Maarten (Dutch part)","SXM","Male"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"341","4499","Europe & Central Asia","Slovak Republic","SVK","Female","10.93","12.83","14.6","13.63","14.52","14.53","13.63","12.89","10.76","8.41","7.03","5.96","7.06","15649.87124"
"342","4500","Europe & Central Asia","Slovak Republic","SVK","Male","8.36","11.39","14.2","13.61","13.52","13.98","12.82","10.32","8.77","7.9","6.13","5.59","6.38","15649.87124"
"343","4525","Europe & Central Asia","Slovenia","SVN","Female","4.82","5.8","7.02","8.17","9.37","10.91","10.55","10.04","8.59","7.47","5.7","4.95","5.63","20746.3207"
"344","4526","Europe & Central Asia","Slovenia","SVN","Male","3.99","5.9","7.42","8.16","8.39","9.42","8.92","8.05","7.49","5.77","4.6","4.01","4.41","20746.3207"
"345","4551","East Asia & Pacific","Solomon Islands","SLB","Female"," ","1.76"," "," "," ","0.72"," "," "," "," "," "," "," ","1974.373834"
"346","4552","East Asia & Pacific","Solomon Islands","SLB","Male"," ","2.25"," "," "," ","0.67"," "," "," "," "," "," "," ","1974.373834"
"347","4577","Sub-Saharan Africa","Somalia","SOM","Female"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"348","4578","Sub-Saharan Africa","Somalia","SOM","Male"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"349","4603","Sub-Saharan Africa","South Africa","ZAF","Female","25.74","25.54","26.98","27.19","27.05","26.52","27.02","27.52","28.98","29.26","29.05","30.5","31.02","4862.222806"
"350","4604","Sub-Saharan Africa","South Africa","ZAF","Male","19.69","21.89","22.84","22.56","22.84","22.95","23.15","23.2","24.53","25.2","25.13","26.79","27.74","4862.222806"
"351","4629","Sub-Saharan Africa","South Sudan","SSD","Female","13.23"," "," "," "," "," "," "," "," "," "," "," ","17.43"," "
"352","4630","Sub-Saharan Africa","South Sudan","SSD","Male","11.17"," "," "," "," "," "," "," "," "," "," "," ","13.87"," "
"353","4655","Europe & Central Asia","Spain","ESP","Female","12.84","18.13","20.22","21.81","25.03","26.67","25.43","23.55","21.38","19.03","17.02","15.99"," ","25055.29563"
